turn_number,acting_side,pokemon_name,move_name,damage,score,search_depth,nodes,player_hp_after,opponent_hp_after,next_side,scenario_id,condition_id,record_number
15,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,15
16,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,16
17,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,17
18,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,18
19,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,19
20,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,20
21,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,21
22,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,22
23,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,23
24,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,24
25,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,25
26,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,26
27,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,27
28,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,28
29,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,29
30,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player,T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,30
