battle_number,scenario_id,base_scenario_id,condition_id,turn_number,current_player,legal_moves,selected_move,raw_predicted_move,confidence,selected_probability,fallback_used,fallback_reason,masking_changed_action
22,T52_S008__BASELINE,T52_S008,BASELINE,2,Player,['Ascension'],Ascension,Ascension,0.9893333333333333,0.9893333333333333,False,,False
22,T52_S008__BASELINE,T52_S008,BASELINE,3,Opponent,['Live Coal'],Live Coal,Ascension,0.9453333333333334,0.050666666666666665,False,,True
22,T52_S008__BASELINE,T52_S008,BASELINE,4,Player,['Ascension'],Ascension,Ascension,0.9786666666666667,0.9786666666666667,False,,False
22,T52_S008__BASELINE,T52_S008,BASELINE,5,Opponent,['Live Coal'],Live Coal,Ascension,0.9386666666666666,0.050666666666666665,False,,True
22,T52_S008__BASELINE,T52_S008,BASELINE,6,Player,['Ascension'],Ascension,Ascension,0.864,0.864,False,,False
22,T52_S008__BASELINE,T52_S008,BASELINE,7,Opponent,['Live Coal'],Live Coal,Ascension,0.8066666666666666,0.072,False,,True
23,T52_S008__HP_PRESSURE,T52_S008,HP_PRESSURE,6,Player,['Ascension'],Ascension,Ascension,0.928,0.928,False,,False
23,T52_S008__HP_PRESSURE,T52_S008,HP_PRESSURE,7,Opponent,['Live Coal'],Live Coal,Ascension,0.876,0.072,False,,True
23,T52_S008__HP_PRESSURE,T52_S008,HP_PRESSURE,8,Player,['Ascension'],Ascension,Ascension,0.8306666666666667,0.8306666666666667,False,,False
23,T52_S008__HP_PRESSURE,T52_S008,HP_PRESSURE,9,Opponent,['Live Coal'],Live Coal,Ascension,0.78,0.068,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,4,Player,['Ascension'],Ascension,Ascension,0.7293333333333333,0.7293333333333333,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,5,Opponent,['Pass'],Pass,Ascension,0.6973333333333334,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,6,Player,['Ascension'],Ascension,Ascension,0.6826666666666666,0.6826666666666666,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,7,Opponent,['Pass'],Pass,Ascension,0.6413333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,8,Player,['Ascension'],Ascension,Ascension,0.6506666666666666,0.6506666666666666,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,9,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,10,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,11,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,12,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,13,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,14,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,15,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,16,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,17,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,18,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,19,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,20,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,21,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,22,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,23,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,24,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,25,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,26,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,27,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,28,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,29,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,30,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,31,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,32,Player,['Ascension'],Ascension,Ascension,0.6306666666666667,0.6306666666666667,False,,False
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,33,Opponent,['Pass'],Pass,Ascension,0.6173333333333333,0.26266666666666666,False,,True
