battle_number,scenario_id,base_scenario_id,condition_id,record_number,turn_number,acting_side,pokemon_name,move_name,damage,score,player_hp_after,opponent_hp_after,next_side
23,T52_S008__HP_PRESSURE,T52_S008,HP_PRESSURE,2,7,Opponent,Charmander,Live Coal,20.0,0.876,5.0,80.0,Player
23,T52_S008__HP_PRESSURE,T52_S008,HP_PRESSURE,3,8,Player,Eevee,Ascension,0.0,0.8306666666666667,5.0,80.0,Opponent
23,T52_S008__HP_PRESSURE,T52_S008,HP_PRESSURE,4,9,Opponent,Charmander,Live Coal,20.0,0.78,0.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,1,4,Player,Eevee,Ascension,0.0,0.7293333333333333,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,2,5,Opponent,Charmander,Pass,0.0,0.6973333333333334,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,3,6,Player,Eevee,Ascension,0.0,0.6826666666666666,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,4,7,Opponent,Charmander,Pass,0.0,0.6413333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,5,8,Player,Eevee,Ascension,0.0,0.6506666666666666,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,6,9,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,7,10,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,8,11,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,9,12,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,10,13,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,11,14,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,12,15,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,13,16,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,14,17,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,15,18,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,16,19,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,17,20,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,18,21,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,19,22,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,20,23,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,21,24,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,22,25,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,23,26,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,24,27,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,25,28,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,26,29,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,27,30,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,28,31,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,29,32,Player,Eevee,Ascension,0.0,0.6306666666666667,50.0,80.0,Opponent
24,T52_S008__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,30,33,Opponent,Charmander,Pass,0.0,0.6173333333333333,50.0,80.0,Player
