comparison_case_id,strategy_a,strategy_b,maximum_case_difference,mean_case_difference,l1_case_difference,prediction_a,prediction_b,predictions_match,maximum_probability_difference,mean_probability_difference,l1_probability_difference,global_rank
4WE_PAIR_010_V02__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07400000000000001,0.02466666666666666,0.14799999999999996,Quick Attack,Quick Attack,True,0.07400000000000001,0.02466666666666666,0.14799999999999996,313
4WE_PAIR_010_V03__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07400000000000001,0.02466666666666666,0.14799999999999996,Quick Attack,Quick Attack,True,0.07400000000000001,0.02466666666666666,0.14799999999999996,314
4WE_PAIR_013_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07400000000000001,0.02466666666666666,0.14799999999999996,Quick Attack,Quick Attack,True,0.07400000000000001,0.02466666666666666,0.14799999999999996,315
4WE_PAIR_014_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07400000000000001,0.02466666666666666,0.14799999999999996,Quick Attack,Quick Attack,True,0.07400000000000001,0.02466666666666666,0.14799999999999996,316
4WE_PAIR_018_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07400000000000001,0.02466666666666666,0.14799999999999996,Quick Attack,Quick Attack,True,0.07400000000000001,0.02466666666666666,0.14799999999999996,317
4WE_PAIR_019_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07400000000000001,0.02466666666666666,0.14799999999999996,Quick Attack,Quick Attack,True,0.07400000000000001,0.02466666666666666,0.14799999999999996,318
4WE_PAIR_001_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07399999999999995,0.02466666666666666,0.14799999999999996,Quick Attack,Quick Attack,True,0.07399999999999995,0.02466666666666666,0.14799999999999996,319
4WE_PAIR_002_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07399999999999995,0.02466666666666666,0.14799999999999996,Quick Attack,Quick Attack,True,0.07399999999999995,0.02466666666666666,0.14799999999999996,320
4WE_PAIR_008_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07399999999999995,0.02466666666666666,0.14799999999999996,Quick Attack,Quick Attack,True,0.07399999999999995,0.02466666666666666,0.14799999999999996,321
4WE_PAIR_009_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07399999999999995,0.02466666666666666,0.14799999999999996,Quick Attack,Quick Attack,True,0.07399999999999995,0.02466666666666666,0.14799999999999996,322
4WE_PAIR_001_V04__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07200000000000006,0.025333333333333347,0.15200000000000008,Quick Attack,Quick Attack,True,0.07200000000000006,0.025333333333333347,0.15200000000000008,323
4WE_PAIR_003_V01__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07200000000000006,0.025333333333333347,0.15200000000000008,Quick Attack,Quick Attack,True,0.07200000000000006,0.025333333333333347,0.15200000000000008,324
4WE_PAIR_004_V01__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07200000000000006,0.025333333333333347,0.15200000000000008,Quick Attack,Quick Attack,True,0.07200000000000006,0.025333333333333347,0.15200000000000008,325
4WE_PAIR_004_V04__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07200000000000006,0.025333333333333347,0.15200000000000008,Quick Attack,Quick Attack,True,0.07200000000000006,0.025333333333333347,0.15200000000000008,326
4WE_PAIR_008_V04__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07200000000000006,0.025333333333333347,0.15200000000000008,Quick Attack,Quick Attack,True,0.07200000000000006,0.025333333333333347,0.15200000000000008,327
4WE_PAIR_010_V01__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07200000000000006,0.025333333333333347,0.15200000000000008,Quick Attack,Quick Attack,True,0.07200000000000006,0.025333333333333347,0.15200000000000008,328
4WE_PAIR_002_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07200000000000006,0.02466666666666668,0.14800000000000008,329
4WE_PAIR_009_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07200000000000006,0.02466666666666668,0.14800000000000008,330
4WE_PAIR_014_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07200000000000006,0.02466666666666668,0.14800000000000008,331
4WE_PAIR_019_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07200000000000006,0.02466666666666668,0.14800000000000008,332
4WE_PAIR_001_V02__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000001,0.023999999999999994,0.14399999999999996,Quick Attack,Quick Attack,True,0.07200000000000001,0.023999999999999994,0.14399999999999996,333
4WE_PAIR_002_V02__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000001,0.023999999999999994,0.14399999999999996,Quick Attack,Quick Attack,True,0.07200000000000001,0.023999999999999994,0.14399999999999996,334
4WE_PAIR_008_V02__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000001,0.023999999999999994,0.14399999999999996,Quick Attack,Quick Attack,True,0.07200000000000001,0.023999999999999994,0.14399999999999996,335
4WE_PAIR_009_V02__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000001,0.023999999999999994,0.14399999999999996,Quick Attack,Quick Attack,True,0.07200000000000001,0.023999999999999994,0.14399999999999996,336
4WE_PAIR_013_V03__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000001,0.023999999999999994,0.14399999999999996,Quick Attack,Quick Attack,True,0.07200000000000001,0.023999999999999994,0.14399999999999996,337
4WE_PAIR_014_V03__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000001,0.023999999999999994,0.14399999999999996,Quick Attack,Quick Attack,True,0.07200000000000001,0.023999999999999994,0.14399999999999996,338
4WE_PAIR_018_V03__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000001,0.023999999999999994,0.14399999999999996,Quick Attack,Quick Attack,True,0.07200000000000001,0.023999999999999994,0.14399999999999996,339
4WE_PAIR_019_V03__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07200000000000001,0.023999999999999994,0.14399999999999996,Quick Attack,Quick Attack,True,0.07200000000000001,0.023999999999999994,0.14399999999999996,340
4WE_PAIR_003_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07199999999999995,0.023999999999999994,0.14399999999999996,Quick Attack,Quick Attack,True,0.07199999999999995,0.023999999999999994,0.14399999999999996,341
4WE_PAIR_010_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07199999999999995,0.023999999999999994,0.14399999999999996,Quick Attack,Quick Attack,True,0.07199999999999995,0.023999999999999994,0.14399999999999996,342
4WE_PAIR_003_V01__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07000000000000006,0.02466666666666668,0.14800000000000008,343
4WE_PAIR_003_V04__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07000000000000006,0.02466666666666668,0.14800000000000008,344
4WE_PAIR_007_V01__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07000000000000006,0.02466666666666668,0.14800000000000008,345
4WE_PAIR_010_V01__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07000000000000006,0.02466666666666668,0.14800000000000008,346
4WE_PAIR_010_V04__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07000000000000006,0.02466666666666668,0.14800000000000008,347
4WE_PAIR_013_V04__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07000000000000006,0.02466666666666668,0.14800000000000008,348
4WE_PAIR_018_V04__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02466666666666668,0.14800000000000008,Quick Attack,Quick Attack,True,0.07000000000000006,0.02466666666666668,0.14800000000000008,349
4WE_PAIR_001_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.07000000000000006,0.02400000000000001,0.14400000000000007,350
4WE_PAIR_008_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.07000000000000006,0.02400000000000001,0.14400000000000007,351
4WE_PAIR_013_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.07000000000000006,0.02400000000000001,0.14400000000000007,352
4WE_PAIR_018_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07000000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.07000000000000006,0.02400000000000001,0.14400000000000007,353
4WE_PAIR_004_V02__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.07,0.023333333333333327,0.13999999999999996,354
4WE_PAIR_004_V03__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.07,0.023333333333333327,0.13999999999999996,355
4WE_PAIR_013_V02__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.07,0.023333333333333327,0.13999999999999996,356
4WE_PAIR_013_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.07,0.023333333333333327,0.13999999999999996,357
4WE_PAIR_014_V02__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.07,0.023333333333333327,0.13999999999999996,358
4WE_PAIR_014_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.07,0.023333333333333327,0.13999999999999996,359
4WE_PAIR_018_V02__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.07,0.023333333333333327,0.13999999999999996,360
4WE_PAIR_018_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.07,0.023333333333333327,0.13999999999999996,361
4WE_PAIR_019_V02__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.07,0.023333333333333327,0.13999999999999996,362
4WE_PAIR_019_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.07,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.07,0.023333333333333327,0.13999999999999996,363
4WE_PAIR_001_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06999999999999995,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.06999999999999995,0.023333333333333327,0.13999999999999996,364
4WE_PAIR_002_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06999999999999995,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.06999999999999995,0.023333333333333327,0.13999999999999996,365
4WE_PAIR_003_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06999999999999995,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.06999999999999995,0.023333333333333327,0.13999999999999996,366
4WE_PAIR_008_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06999999999999995,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.06999999999999995,0.023333333333333327,0.13999999999999996,367
4WE_PAIR_009_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06999999999999995,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.06999999999999995,0.023333333333333327,0.13999999999999996,368
4WE_PAIR_010_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06999999999999995,0.023333333333333327,0.13999999999999996,Quick Attack,Quick Attack,True,0.06999999999999995,0.023333333333333327,0.13999999999999996,369
4WE_PAIR_002_V01__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.02400000000000001,0.14400000000000007,370
4WE_PAIR_007_V01__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.02400000000000001,0.14400000000000007,371
4WE_PAIR_007_V04__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.02400000000000001,0.14400000000000007,372
4WE_PAIR_009_V01__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.02400000000000001,0.14400000000000007,373
4WE_PAIR_017_V01__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.02400000000000001,0.14400000000000007,374
4WE_PAIR_017_V01__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.02400000000000001,0.14400000000000007,375
4WE_PAIR_017_V04__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.02400000000000001,0.14400000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.02400000000000001,0.14400000000000007,376
4WE_PAIR_002_V01__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.023333333333333345,0.14000000000000007,377
4WE_PAIR_003_V01__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.023333333333333345,0.14000000000000007,378
4WE_PAIR_003_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.023333333333333345,0.14000000000000007,379
4WE_PAIR_007_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.023333333333333345,0.14000000000000007,380
4WE_PAIR_009_V01__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.023333333333333345,0.14000000000000007,381
4WE_PAIR_010_V01__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.023333333333333345,0.14000000000000007,382
4WE_PAIR_010_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06800000000000006,0.023333333333333345,0.14000000000000007,383
4WE_PAIR_017_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06800000000000006,0.02333333333333334,0.14000000000000004,Quick Attack,Quick Attack,True,0.06800000000000006,0.02333333333333334,0.14000000000000004,384
4WE_PAIR_016_V03__OPPONENT,R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,0.06800000000000002,0.02266666666666668,0.13600000000000007,Quick Attack,Quick Attack,True,0.06800000000000002,0.02266666666666668,0.13600000000000007,385
4WE_PAIR_004_V02__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06799999999999995,0.022666666666666658,0.13599999999999995,Quick Attack,Quick Attack,True,0.06799999999999995,0.022666666666666658,0.13599999999999995,386
4WE_PAIR_002_V01__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.023333333333333345,0.14000000000000007,387
4WE_PAIR_002_V04__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.023333333333333345,0.14000000000000007,388
4WE_PAIR_009_V01__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.023333333333333345,0.14000000000000007,389
4WE_PAIR_009_V04__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.023333333333333345,0.14000000000000007,390
4WE_PAIR_014_V01__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.023333333333333345,0.14000000000000007,391
4WE_PAIR_014_V01__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.023333333333333345,0.14000000000000007,392
4WE_PAIR_014_V04__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.023333333333333345,0.14000000000000007,393
4WE_PAIR_019_V01__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.023333333333333345,0.14000000000000007,394
4WE_PAIR_019_V01__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.023333333333333345,0.14000000000000007,395
4WE_PAIR_019_V04__OPPONENT,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.023333333333333345,0.14000000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.023333333333333345,0.14000000000000007,396
4WE_PAIR_001_V01__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.02266666666666668,0.13600000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.02266666666666668,0.13600000000000007,397
4WE_PAIR_004_V01__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.02266666666666668,0.13600000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.02266666666666668,0.13600000000000007,398
4WE_PAIR_004_V04__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.02266666666666668,0.13600000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.02266666666666668,0.13600000000000007,399
4WE_PAIR_007_V01__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.02266666666666668,0.13600000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.02266666666666668,0.13600000000000007,400
4WE_PAIR_008_V01__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.02266666666666668,0.13600000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.02266666666666668,0.13600000000000007,401
4WE_PAIR_014_V01__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.02266666666666668,0.13600000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.02266666666666668,0.13600000000000007,402
4WE_PAIR_019_V01__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06600000000000006,0.02266666666666668,0.13600000000000007,Quick Attack,Quick Attack,True,0.06600000000000006,0.02266666666666668,0.13600000000000007,403
4WE_PAIR_015_V03__OPPONENT,R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,0.06600000000000002,0.02200000000000001,0.13200000000000006,Quick Attack,Quick Attack,True,0.06600000000000002,0.02200000000000001,0.13200000000000006,404
4WE_PAIR_016_V03__PLAYER,R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,0.06600000000000002,0.02200000000000001,0.13200000000000006,Quick Attack,Quick Attack,True,0.06600000000000002,0.02200000000000001,0.13200000000000006,405
4WE_PAIR_021_V03__OPPONENT,R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,0.06600000000000002,0.02200000000000001,0.13200000000000006,Quick Attack,Quick Attack,True,0.06600000000000002,0.02200000000000001,0.13200000000000006,406
4WE_PAIR_004_V03__PLAYER,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06599999999999995,0.021999999999999992,0.13199999999999995,Quick Attack,Quick Attack,True,0.06599999999999995,0.021999999999999992,0.13199999999999995,407
4WE_PAIR_001_V01__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06400000000000006,0.02266666666666668,0.13600000000000007,Quick Attack,Quick Attack,True,0.06400000000000006,0.02266666666666668,0.13600000000000007,408
4WE_PAIR_008_V01__PLAYER,R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.06400000000000006,0.02266666666666668,0.13600000000000007,Quick Attack,Quick Attack,True,0.06400000000000006,0.02266666666666668,0.13600000000000007,409
4WE_PAIR_002_V01__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06400000000000006,0.02200000000000001,0.13200000000000006,Quick Attack,Quick Attack,True,0.06400000000000006,0.02200000000000001,0.13200000000000006,410
4WE_PAIR_002_V04__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06400000000000006,0.02200000000000001,0.13200000000000006,Quick Attack,Quick Attack,True,0.06400000000000006,0.02200000000000001,0.13200000000000006,411
4WE_PAIR_003_V01__OPPONENT,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.06400000000000006,0.02200000000000001,0.13200000000000006,Quick Attack,Quick Attack,True,0.06400000000000006,0.02200000000000001,0.13200000000000006,412
